,year,month,temperature
77333,1850,8,24.176
77334,1850,9,24.551
77335,1850,10,24.468000000000004
77336,1850,11,24.604
77337,1850,12,24.643
77338,1851,1,25.414
77339,1851,2,25.06
77340,1851,3,24.234
77341,1851,4,24.004
77342,1851,5,23.567
77343,1851,6,23.046
77344,1851,7,23.617
77345,1851,8,24.073
77346,1851,9,24.492
77347,1851,10,25.073
77348,1851,11,24.642
77349,1851,12,24.886
77350,1852,1,25.197000000000006
77351,1852,2,24.767000000000003
77352,1852,3,24.331
77353,1852,4,24.065
77354,1852,5,23.972
77355,1852,6,23.099
77356,1852,7,23.45
77357,1852,8,23.673
77358,1852,9,24.553
77359,1852,10,24.888
77360,1852,11,24.708
77361,1852,12,25.616
77362,1853,1,24.939
77363,1853,2,24.372
77364,1853,3,24.239
77365,1853,4,24.245
77366,1853,5,23.578000000000003
77367,1853,6,23.132
77368,1853,7,23.654
77369,1853,8,24.433000000000003
77370,1853,9,24.951
77371,1853,10,24.934
77372,1853,11,24.989
77373,1853,12,24.977
77374,1854,1,24.274
77375,1854,2,24.47300000000001
77376,1854,3,24.639
77377,1854,4,24.358
77378,1854,5,23.77
77379,1854,6,22.982000000000006
77380,1854,7,23.648000000000003
77381,1854,8,24.227
77382,1854,9,24.818
77383,1854,10,25.929
77384,1854,11,25.276
77385,1854,12,25.187
77386,1855,1,25.844
77387,1855,2,25.430000000000003
77388,1855,3,24.982
77389,1855,4,24.989
77390,1855,5,24.067
77391,1855,6,23.189
77392,1855,7,23.147
77393,1855,8,24.175
77394,1855,9,24.49
77395,1855,10,24.815
77396,1855,11,24.941
77397,1855,12,23.822
77398,1856,1,24.926
77399,1856,2,24.198
77400,1856,3,24.147
77401,1856,4,24.226
77402,1856,5,23.241
77403,1856,6,23.182
77404,1856,7,22.882
77405,1856,8,23.408
77406,1856,9,23.959
77407,1856,10,24.162
77408,1856,11,24.698
77409,1856,12,24.554
77410,1857,1,24.642000000000003
77411,1857,2,24.649
77412,1857,3,24.369
77413,1857,4,22.976
77414,1857,5,22.834
77415,1857,6,22.66
77416,1857,7,23.191
77417,1857,8,23.516
77418,1857,9,24.231
77419,1857,10,24.58
77420,1857,11,25.263
77421,1857,12,25.253
77422,1858,1,25.207
77423,1858,2,24.626
77424,1858,3,24.726
77425,1858,4,24.397
77426,1858,5,23.707
77427,1858,6,22.481
77428,1858,7,22.399
77429,1858,8,23.519
77430,1858,9,23.77
77431,1858,10,24.339
77432,1858,11,24.994
77433,1858,12,23.719
77434,1859,1,24.494
77435,1859,2,24.62
77436,1859,3,25.323
77437,1859,4,25.183000000000003
77438,1859,5,24.019
77439,1859,6,23.053
77440,1859,7,22.819000000000003
77441,1859,8,23.509
77442,1859,9,24.343000000000004
77443,1859,10,25.246
77444,1859,11,25.119
77445,1859,12,24.688
77446,1860,1,24.985000000000007
77447,1860,2,24.706000000000003
77448,1860,3,23.924
77449,1860,4,24.33
77450,1860,5,23.663
77451,1860,6,23.4
77452,1860,7,23.608
77453,1860,8,24.952
77454,1860,9,25.576
77455,1860,10,25.491
77456,1860,11,24.61
77457,1860,12,23.798
77458,1861,1,23.729000000000006
77459,1861,2,24.65
77460,1861,3,24.551
77461,1861,4,24.401
77462,1861,5,23.438
77463,1861,6,22.688
77464,1861,7,22.614
77465,1861,8,24.46
77466,1861,9,24.614
77467,1861,10,24.56
77468,1861,11,25.019
77469,1861,12,24.497
77470,1862,1,23.81600000000001
77471,1862,2,24.105
77472,1862,3,24.562
77473,1862,4,24.09800000000001
77474,1862,5,24.01
77475,1862,6,22.986
77476,1862,7,22.665
77477,1862,8,23.336
77478,1862,9,23.994
77479,1862,10,24.849
77480,1862,11,24.639
77481,1862,12,24.031
77482,1863,1,25.765
77483,1863,2,25.12
77484,1863,3,24.486
77485,1863,4,24.485
77486,1863,5,23.531
77487,1863,6,23.021
77488,1863,7,22.836
77489,1863,8,23.416
77490,1863,9,24.019
77491,1863,10,24.41200000000001
77492,1863,11,24.625
77493,1863,12,24.606
77494,1864,1,24.404000000000003
77495,1864,2,24.534
77496,1864,3,24.348000000000003
77497,1864,4,23.999
77498,1864,5,23.832
77499,1864,6,23.12
77500,1864,7,23.105
77501,1864,8,23.62
77502,1864,9,24.663
77503,1864,10,24.887
77504,1864,11,24.758000000000003
77505,1864,12,24.307
77506,1865,1,25.519
77507,1865,2,24.144
77508,1865,3,23.916
77509,1865,4,23.861
77510,1865,5,23.61
77511,1865,6,23.188
77512,1865,7,23.146
77513,1865,8,23.89
77514,1865,9,24.599
77515,1865,10,25.108
77516,1865,11,25.363000000000003
77517,1865,12,24.428
77518,1866,1,25.42
77519,1866,2,24.175
77520,1866,3,24.146
77521,1866,4,24.117
77522,1866,5,23.757
77523,1866,6,22.617
77524,1866,7,23.553
77525,1866,8,24.108
77526,1866,9,24.916
77527,1866,10,24.62
77528,1866,11,25.267
77529,1866,12,25.368
77530,1867,1,24.733
77531,1867,2,24.676
77532,1867,3,24.362
77533,1867,4,24.51
77534,1867,5,23.575
77535,1867,6,23.266
77536,1867,7,23.198
77537,1867,8,24.157
77538,1867,9,24.904
77539,1867,10,25.149
77540,1867,11,25.82
77541,1867,12,25.569000000000003
77542,1868,1,24.988000000000003
77543,1868,2,24.389000000000006
77544,1868,3,24.745
77545,1868,4,24.225
77546,1868,5,24.036
77547,1868,6,23.522
77548,1868,7,23.806
